Object Name,Object Type,Action
audit_event_changes,Table,Add Provider
audit_events,Table,Add Provider
campaigns,Table,Add Provider
data_import_errors,Table,Add Provider
data_import_jobs,Table,Add Provider
lead_notes,Table,Add Provider
lead_status_transitions,Table,Add Provider
leads,Table,Add Provider
member_analytics_cache,Table,Add Provider
member_individual_insights,Table,Add Provider
member_program_finances,Table,Add Provider
member_program_item_schedule,Table,Add Provider
member_program_item_tasks,Table,Add Provider
member_program_items,Table,Add Provider
member_program_items_task_schedule,Table,Add Provider
member_program_membership_finances,Table,Add Provider
member_program_payments,Table,Add Provider
member_program_rasha,Table,Add Provider
member_programs,Table,Add Provider
member_progress_summary,Table,Add Provider
metric_targets,Table,Add Provider
notifications,Table,Add Provider
program_status_transitions,Table,Add Provider
program_template,Table,Add Provider
program_template_items,Table,Add Provider
program_template_rasha,Table,Add Provider
survey_response_sessions,Table,Add Provider
survey_responses,Table,Add Provider
survey_session_program_context,Table,Add Provider
survey_user_mappings,Table,Add Provider
survey_user_progress,Table,Add Provider
therapies,Table,Add Provider
therapy_tasks,Table,Add Provider
user_menu_permissions,Table,Add Provider
users,Table,Add Provider
vendors,Table,Add Provider
bodies,Table,Drop
member_program_finances_backup_active_tax_fix,Table,Drop
pillars,Table,Drop
therapies_bodies_pillars,Table,Drop
buckets,Table,Global
cron_job_runs,Table,Global
financing_types,Table,Global
inventory_count_details,Table,Global
inventory_count_sessions,Table,Global
inventory_items,Table,Global
inventory_transactions,Table,Global
item_requests,Table,Global
menu_items,Table,Global
metric_definitions,Table,Global
metric_target_templates,Table,Global
payment_methods,Table,Global
payment_status,Table,Global
program_roles,Table,Global
program_status,Table,Global
purchase_order_items,Table,Global
purchase_orders,Table,Global
rasha_list,Table,Global
status,Table,Global
survey_domain_scores,Table,Global
survey_domains,Table,Global
survey_form_question_domain,Table,Global
survey_forms,Table,Global
survey_modules,Table,Global
survey_programs,Table,Global
survey_questions,Table,Global
therapytype,Table,Global
vw_audit_member_items,View,
vw_coordinator_item_schedule,View,
vw_coordinator_task_schedule,View,
vw_member_audit_events,View,
vw_purchase_order_audit_history,View,
adjust_date_for_weekend,Function,
adjust_future_schedule_instances,Function,
apply_member_program_items_changes,Function,
audit_and_fix_margins,Function,
audit_lead_status_transition,Function,"Captures lead status AND pmedate changes. Always records status (old/new), plus pmedate when it changes."
audit_member_item_schedule,Function,
audit_member_item_task_schedule,Function,
audit_member_program_finances,Function,
audit_member_program_item_tasks,Function,
audit_member_program_items,Function,
audit_member_program_membership_finances,Function,
audit_member_program_payments,Function,
audit_member_programs,Function,
audit_program_status_transition,Function,Captures program status changes and writes them to program_status_transitions table.
audit_support_trigger,Function,
bytea_to_text,Function,
calculate_analytics_metrics,Function,Calculates all analytics metrics including MSQ and PROMIS-29 for research-grade dashboard.
calculate_po_totals,Function,
compute_pause_days_since_date,Function,
compute_program_total_pause_days,Function,
convert_promis_text_to_numeric,Function,
copy_program_template,Function,Creates a complete copy of a program template including all active items. The new template is created as inactive and requires review before activation.
copy_program_template_exact,Function,Creates a complete copy of a program template with format: [Original Name] - Copy (timestamp). Copies all items and RASHA entries.
create_member_program_from_template,Function,
example_create_member_program,Function,
generate_count_session_number,Function,
generate_member_program_schedule,Function,
generate_po_number,Function,
get_latest_analytics_cache,Function,Returns the most recent analytics cache entry. Used by API endpoints.
get_latest_import_status,Function,
get_monthly_compliance_trends,Function,
get_responses_with_domains,Function,
handle_new_user,Function,
http,Function,
http_delete,Function,
http_get,Function,
http_head,Function,
http_header,Function,
http_list_curlopt,Function,
http_patch,Function,
http_post,Function,
http_put,Function,
http_reset_curlopt,Function,
http_set_curlopt,Function,
lock_contracted_margin,Function,
pause_member_program,Function,
pgaudit_ddl_command_end,Function,
pgaudit_sql_drop,Function,
recalculate_templates_on_therapy_change,Function,
regen_member_program_task_schedule,Function,
regenerate_member_program_payments,Function,
set_count_session_number,Function,
text_to_bytea,Function,
trigger_survey_import,Function,
update_count_session_stats,Function,
update_inventory_on_po_receive,Function,
update_inventory_on_schedule_change,Function,
update_timestamp_function,Function,
urlencode,Function,
